BeachName,DNRID,Date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg
McCarrons,62-0054,2017-07-25,13.5,18,,,,,,N,,RamseyCo
Owasso,62-0056,2017-07-25,3.1,2.8,,,,,,N,,RamseyCo
Josephine,62-0057,2017-07-25,12,4.5,,,,,,N,,RamseyCo
Turtle,62-0061,2017-07-25,2.4,6.5,,,,,,N,,RamseyCo
Long,62-0067,2017-07-25,2.5,5.4,,,,,,N,,RamseyCo
Johanna,62-0078,2017-07-25,1,9.4,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-07-25,3.2,5.5,,,,,,N,,RamseyCo
White Bear,82-0167,2017-07-25,1.8,13.2,,,,,,N,,RamseyCo
Gervais,62-0007,2017-08-01,50.3,6,,,,,,N,,RamseyCo
Phalen,62-0013,2017-08-01,42.5,46.7,,,,,,N,,RamseyCo
McCarrons,62-0054,2017-08-01,19.2,23.1,,,,,,N,,RamseyCo
Owasso,62-0056,2017-08-01,134.5,6.7,,,,,,N,,RamseyCo
Josephine,62-0057,2017-08-01,23.3,8.5,,,,,,N,,RamseyCo
Turtle,62-0061,2017-08-01,1,5.7,,,,,,N,,RamseyCo
Long,62-0067,2017-08-01,1,4.8,,,,,,N,,RamseyCo
Johanna,62-0078,2017-08-01,3,3.5,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-08-01,1,5.1,,,,,,N,,RamseyCo
White Bear,82-0167,2017-08-01,4.3,9,,,,,,N,,RamseyCo
Gervais,62-0007,2017-08-08,5.1,5.7,,,,,,N,,RamseyCo
Phalen,62-0013,2017-08-08,14,45.7,,,,,,N,,RamseyCo
McCarrons,62-0054,2017-08-08,41.7,23.3,,,,,,N,,RamseyCo
Owasso,62-0056,2017-08-08,1.8,6.3,,,,,,N,,RamseyCo
Josephine,62-0057,2017-08-08,3.6,8.2,,,,,,N,,RamseyCo
Turtle,62-0061,2017-08-08,2.9,3.1,,,,,,N,,RamseyCo
Long,62-0067,2017-08-08,9.1,5.7,,,,,,N,,RamseyCo
Johanna,62-0078,2017-08-08,1.8,2.1,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-08-08,8.6,5.3,,,,,,N,,RamseyCo
White Bear,82-0167,2017-08-08,6.7,4.1,,,,,,N,,RamseyCo
Gervais,62-0007,2017-08-15,1.8,5.9,,,,,,N,,RamseyCo
Phalen,62-0013,2017-08-15,10.6,40.1,,,,,,N,,RamseyCo
McCarrons,62-0054,2017-08-15,9.3,18.8,,,,,,N,,RamseyCo
Owasso,62-0056,2017-08-15,5.1,7.3,,,,,,N,,RamseyCo
Josephine,62-0057,2017-08-15,8.7,10.7,,,,,,N,,RamseyCo
Turtle,62-0061,2017-08-15,15.1,5,,,,,,N,,RamseyCo
Long,62-0067,2017-08-15,6.8,5.8,,,,,,N,,RamseyCo
Johanna,62-0078,2017-08-15,1.4,2,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-08-15,3.8,5.4,,,,,,N,,RamseyCo
White Bear,82-0167,2017-08-15,4.8,4.2,,,,,,N,,RamseyCo
Gervais,62-0007,2017-08-22,6.2,4.9,,,,,,N,,RamseyCo
Phalen,62-0013,2017-08-22,44.6,26.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2017-08-22,47.7,21.7,,,,,,N,,RamseyCo
Owasso,62-0056,2017-08-22,3.9,6.8,,,,,,N,,RamseyCo
Josephine,62-0057,2017-08-22,19.9,11.2,,,,,,N,,RamseyCo
Turtle,62-0061,2017-08-22,12.1,4.2,,,,,,N,,RamseyCo
Long,62-0067,2017-08-22,2.7,4.6,,,,,,N,,RamseyCo
Johanna,62-0078,2017-08-22,65.9,3.5,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-08-22,1.4,2.7,,,,,,N,,RamseyCo
White Bear,82-0167,2017-08-22,16.1,5.2,,,,,,N,,RamseyCo
Gervais,62-0007,2017-08-29,8.6,7.5,,,,,,N,,RamseyCo
McCarrons,62-0054,2017-08-29,76.5,30.7,,,,,,N,,RamseyCo
Owasso,62-0056,2017-08-29,9.6,8.5,,,,,,N,,RamseyCo
Josephine,62-0057,2017-08-29,2,7.8,,,,,,N,,RamseyCo
Turtle,62-0061,2017-08-29,7,5.2,,,,,,N,,RamseyCo
Long,62-0067,2017-08-29,10.7,4.1,,,,,,N,,RamseyCo
Johanna,62-0078,2017-08-29,69.2,8.1,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2017-08-29,1,2.2,,,,,,N,,RamseyCo
White Bear,82-0167,2017-08-29,5.1,6.5,,,,,,N,,RamseyCo
Gervais,62-0007,2018-05-22,2,0,,,,,,N,,RamseyCo
Phalen,62-0013,2018-05-22,1.4,0,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-05-22,67.4,0,,,,,,N,,RamseyCo
Owasso,62-0056,2018-05-22,6.8,0,,,,,,N,,RamseyCo
Josephine,62-0057,2018-05-22,4.1,0,,,,,,N,,RamseyCo
Turtle,62-0061,2018-05-22,2.5,0,,,,,,N,,RamseyCo
Long,62-0067,2018-05-22,2.3,0,,,,,,N,,RamseyCo
Johanna,62-0078,2018-05-22,10.3,0,,,,,,N,,RamseyCo
White Bear,82-0167,2018-05-22,3.2,0,,,,,,N,,RamseyCo
Gervais,62-0007,2018-05-29,14.5,5.4,,,,,,N,,RamseyCo
Phalen,62-0013,2018-05-29,5.9,2.9,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-05-29,44.6,54.8,,,,,,N,,RamseyCo
Owasso,62-0056,2018-05-29,4.8,5.7,,,,,,N,,RamseyCo
Josephine,62-0057,2018-05-29,7.4,5.5,,,,,,N,,RamseyCo
Turtle,62-0061,2018-05-29,10.5,5.1,,,,,,N,,RamseyCo
Long,62-0067,2018-05-29,2,2.1,,,,,,N,,RamseyCo
Johanna,62-0078,2018-05-29,40.4,20.4,,,,,,N,,RamseyCo
White Bear,82-0167,2018-05-29,2,2.5,,,,,,N,,RamseyCo
Gervais,62-0007,2018-06-05,8.1,6.2,,,,,,N,,RamseyCo
Phalen,62-0013,2018-06-05,4.4,3.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-06-05,5.5,25.5,,,,,,N,,RamseyCo
Owasso,62-0056,2018-06-05,1,3.2,,,,,,N,,RamseyCo
Josephine,62-0057,2018-06-05,2.4,4.2,,,,,,N,,RamseyCo
Turtle,62-0061,2018-06-05,2.5,4,,,,,,N,,RamseyCo
Long,62-0067,2018-06-05,5.7,3,,,,,,N,,RamseyCo
Johanna,62-0078,2018-06-05,172.4,41.6,,,,,,N,,RamseyCo
White Bear,82-0167,2018-06-05,56.2,7.1,,,,,,N,,RamseyCo
Gervais,62-0007,2018-06-12,2.5,4.9,,,,,,N,,RamseyCo
Phalen,62-0013,2018-06-12,59.7,6.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-06-12,36.2,27.9,,,,,,N,,RamseyCo
Owasso,62-0056,2018-06-12,13.4,4.6,,,,,,N,,RamseyCo
Josephine,62-0057,2018-06-12,4.8,4.3,,,,,,N,,RamseyCo
Turtle,62-0061,2018-06-12,13.7,5.5,,,,,,N,,RamseyCo
Long,62-0067,2018-06-12,172.9,8.2,,,,,,N,,RamseyCo
Johanna,62-0078,2018-06-12,85,49.7,,,,,,N,,RamseyCo
White Bear,82-0167,2018-06-12,55.5,11.9,,,,,,N,,RamseyCo
Gervais,62-0007,2018-06-19,11.4,5.8,,,,,,N,,RamseyCo
Phalen,62-0013,2018-06-19,20,8.5,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-06-19,36,29.3,,,,,,N,,RamseyCo
Owasso,62-0056,2018-06-19,7.4,5,,,,,,N,,RamseyCo
Josephine,62-0057,2018-06-19,11.5,5.3,,,,,,N,,RamseyCo
Turtle,62-0061,2018-06-19,49.2,8.5,,,,,,N,,RamseyCo
Long,62-0067,2018-06-19,25.8,10.3,,,,,,N,,RamseyCo
Johanna,62-0078,2018-06-19,307.7,71.6,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-06-19,8.7,0,,,,,,N,,RamseyCo
White Bear,82-0167,2018-06-19,2183.4,33.8,,,,,,Y,ecoli_1dayGM,RamseyCo
White Bear,82-0167,2018-06-20,234.5,46.6,,,,,,N,,RamseyCo
Gervais,62-0007,2018-06-26,17.9,9,,,,,,N,,RamseyCo
Phalen,62-0013,2018-06-26,32.8,15.9,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-06-26,131.8,33.5,,,,,,N,,RamseyCo
Owasso,62-0056,2018-06-26,128.3,9.1,,,,,,N,,RamseyCo
Josephine,62-0057,2018-06-26,46.4,8.6,,,,,,N,,RamseyCo
Turtle,62-0061,2018-06-26,107,18,,,,,,N,,RamseyCo
Long,62-0067,2018-06-26,38.3,18.2,,,,,,N,,RamseyCo
Johanna,62-0078,2018-06-26,41.6,94.6,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-06-26,4.6,6.3,,,,,,N,,RamseyCo
White Bear,82-0167,2018-06-26,43.4,71.9,,,,,,N,,RamseyCo
Gervais,62-0007,2018-07-05,31.4,10.5,,,,,,N,,RamseyCo
Phalen,62-0013,2018-07-05,40,23.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-07-05,28.3,30.6,,,,,,N,,RamseyCo
Owasso,62-0056,2018-07-05,1.4,7.1,,,,,,N,,RamseyCo
Josephine,62-0057,2018-07-05,7.3,8.5,,,,,,N,,RamseyCo
Turtle,62-0061,2018-07-05,5.7,15.9,,,,,,N,,RamseyCo
Long,62-0067,2018-07-05,17.1,27.8,,,,,,N,,RamseyCo
Johanna,62-0078,2018-07-05,15.2,77.8,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-07-05,6.7,6.5,,,,,,N,,RamseyCo
White Bear,82-0167,2018-07-05,41.9,119.4,,,,,,N,,RamseyCo
Gervais,62-0007,2018-07-10,1,6.9,,,,,,N,,RamseyCo
Phalen,62-0013,2018-07-10,2,20,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-07-10,4.6,29.5,,,,,,N,,RamseyCo
Owasso,62-0056,2018-07-10,13.5,12,,,,,,N,,RamseyCo
Josephine,62-0057,2018-07-10,1.8,8,,,,,,N,,RamseyCo
Turtle,62-0061,2018-07-10,8.3,20.2,,,,,,N,,RamseyCo
Long,62-0067,2018-07-10,6.7,28.7,,,,,,N,,RamseyCo
Johanna,62-0078,2018-07-10,3.2,35.1,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-07-10,1,4.1,,,,,,N,,RamseyCo
White Bear,82-0167,2018-07-10,28.3,106.6,,,,,,N,,RamseyCo
Gervais,62-0007,2018-07-17,1.7,6.4,,,,,,N,,RamseyCo
Phalen,62-0013,2018-07-17,508.7,30.6,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-07-17,1,14.4,,,,,,N,,RamseyCo
Owasso,62-0056,2018-07-17,1,7.1,,,,,,N,,RamseyCo
Josephine,62-0057,2018-07-17,2,6.7,,,,,,N,,RamseyCo
Turtle,62-0061,2018-07-17,1.8,13.4,,,,,,N,,RamseyCo
Long,62-0067,2018-07-17,10.6,16.4,,,,,,N,,RamseyCo
Johanna,62-0078,2018-07-17,47.1,31.2,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-07-17,1,3.1,,,,,,N,,RamseyCo
White Bear,82-0167,2018-07-17,33.8,98.1,,,,,,N,,RamseyCo
Gervais,62-0007,2018-07-24,1.4,4.2,,,,,,N,,RamseyCo
Phalen,62-0013,2018-07-24,2.9,20.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-07-24,2,8.1,,,,,,N,,RamseyCo
Owasso,62-0056,2018-07-24,1,4.8,,,,,,N,,RamseyCo
Josephine,62-0057,2018-07-24,1.4,4.4,,,,,,N,,RamseyCo
Turtle,62-0061,2018-07-24,4,8.1,,,,,,N,,RamseyCo
Long,62-0067,2018-07-24,5.7,12.2,,,,,,N,,RamseyCo
Johanna,62-0078,2018-07-24,4.4,13.4,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-07-24,1,2,,,,,,N,,RamseyCo
White Bear,82-0167,2018-07-24,85.4,43.1,,,,,,N,,RamseyCo
Gervais,62-0007,2018-07-31,3.1,3,,,,,,N,,RamseyCo
Phalen,62-0013,2018-07-31,21.9,19.2,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-07-31,9.5,4.8,,,,,,N,,RamseyCo
Owasso,62-0056,2018-07-31,15.2,3.1,,,,,,N,,RamseyCo
Josephine,62-0057,2018-07-31,7.8,3.1,,,,,,N,,RamseyCo
Turtle,62-0061,2018-07-31,1,3.2,,,,,,N,,RamseyCo
Long,62-0067,2018-07-31,20.3,10.7,,,,,,N,,RamseyCo
Johanna,62-0078,2018-07-31,13.4,10.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-07-31,1,1.5,,,,,,N,,RamseyCo
White Bear,82-0167,2018-07-31,86.6,49.5,,,,,,N,,RamseyCo
Gervais,62-0007,2018-08-07,6.7,2.2,,,,,,N,,RamseyCo
Phalen,62-0013,2018-08-07,40.7,19.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-08-07,6.1,3.5,,,,,,N,,RamseyCo
Owasso,62-0056,2018-08-07,1,2.9,,,,,,N,,RamseyCo
Josephine,62-0057,2018-08-07,30.6,4.1,,,,,,N,,RamseyCo
Turtle,62-0061,2018-08-07,4.4,3,,,,,,N,,RamseyCo
Long,62-0067,2018-08-07,11,9.8,,,,,,N,,RamseyCo
Johanna,62-0078,2018-08-07,23.9,11.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-08-07,1,1,,,,,,N,,RamseyCo
White Bear,82-0167,2018-08-07,91,57.8,,,,,,N,,RamseyCo
Gervais,62-0007,2018-08-14,3.2,2.8,,,,,,N,,RamseyCo
Phalen,62-0013,2018-08-14,133.4,44.6,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-08-14,2.7,3.2,,,,,,N,,RamseyCo
Owasso,62-0056,2018-08-14,3.2,2.2,,,,,,N,,RamseyCo
Josephine,62-0057,2018-08-14,1.4,3.9,,,,,,N,,RamseyCo
Turtle,62-0061,2018-08-14,6.6,2.9,,,,,,N,,RamseyCo
Long,62-0067,2018-08-14,7.7,9.4,,,,,,N,,RamseyCo
Johanna,62-0078,2018-08-14,7.5,13.8,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-08-14,2,1.1,,,,,,N,,RamseyCo
White Bear,82-0167,2018-08-14,325.7,94.2,,,,,,N,,RamseyCo
Gervais,62-0007,2018-08-21,2.4,3,,,,,,N,,RamseyCo
Phalen,62-0013,2018-08-21,1,12.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-08-21,3.5,4.1,,,,,,N,,RamseyCo
Owasso,62-0056,2018-08-21,1.4,2.3,,,,,,N,,RamseyCo
Josephine,62-0057,2018-08-21,7,5.1,,,,,,N,,RamseyCo
Turtle,62-0061,2018-08-21,1,2.6,,,,,,N,,RamseyCo
Long,62-0067,2018-08-21,19.1,11.2,,,,,,N,,RamseyCo
Johanna,62-0078,2018-08-21,24,12.1,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2018-08-21,42.5,2.4,,,,,,N,,RamseyCo
White Bear,82-0167,2018-08-21,57.9,104.9,,,,,,N,,RamseyCo
Gervais,62-0007,2018-08-28,32,5.5,,,,,,N,,RamseyCo
Phalen,62-0013,2018-08-28,95.8,25.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2018-08-28,14.2,6,,,,,,N,,RamseyCo
Owasso,62-0056,2018-08-28,61.8,5.3,,,,,,N,,RamseyCo
Josephine,62-0057,2018-08-28,16.2,8.3,,,,,,N,,RamseyCo
Turtle,62-0061,2018-08-28,17.7,3.5,,,,,,N,,RamseyCo
Long,62-0067,2018-08-28,3.3,9.2,,,,,,N,,RamseyCo
Johanna,62-0078,2018-08-28,86.8,21.9,,,,,,N,,RamseyCo
White Bear,82-0167,2018-08-28,139.4,115.7,,,,,,N,,RamseyCo
Gervais,62-0007,2019-05-21,1,0,,,,,,N,,RamseyCo
Phalen,62-0013,2019-05-21,4.4,0,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-05-21,12.8,0,,,,,,N,,RamseyCo
Como,62-0055,2019-05-21,1,0,,,,,,N,,RamseyCo
Owasso,62-0056,2019-05-21,3.6,0,,,,,,N,,RamseyCo
Josephine,62-0057,2019-05-21,1.4,0,,,,,,N,,RamseyCo
Turtle,62-0061,2019-05-21,1.4,0,,,,,,N,,RamseyCo
Long,62-0067,2019-05-21,2.9,0,,,,,,N,,RamseyCo
Johanna,62-0078,2019-05-21,11.3,0,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-05-21,1.4,0,,,,,,N,,RamseyCo
White Bear,82-0167,2019-05-21,1,0,,,,,,N,,RamseyCo
Gervais,62-0007,2019-05-28,32.9,5.7,,,,,,N,,RamseyCo
Phalen,62-0013,2019-05-28,45,14.1,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-05-28,115.2,38.5,,,,,,N,,RamseyCo
Como,62-0055,2019-05-28,10.7,3.3,,,,,,N,,RamseyCo
Owasso,62-0056,2019-05-28,28.4,10.1,,,,,,N,,RamseyCo
Josephine,62-0057,2019-05-28,12,4.1,,,,,,N,,RamseyCo
Turtle,62-0061,2019-05-28,52.5,8.6,,,,,,N,,RamseyCo
Long,62-0067,2019-05-28,11.8,5.8,,,,,,N,,RamseyCo
Johanna,62-0078,2019-05-28,30.5,18.5,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-05-28,9.1,3.6,,,,,,N,,RamseyCo
White Bear,82-0167,2019-05-28,4.6,2.1,,,,,,N,,RamseyCo
Gervais,62-0007,2019-06-04,3.2,4.7,,,,,,N,,RamseyCo
Phalen,62-0013,2019-06-04,1.7,7,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-06-04,7.2,22,,,,,,N,,RamseyCo
Como,62-0055,2019-06-04,27,6.6,,,,,,N,,RamseyCo
Owasso,62-0056,2019-06-04,5.5,8.2,,,,,,N,,RamseyCo
Josephine,62-0057,2019-06-04,12.1,5.9,,,,,,N,,RamseyCo
Turtle,62-0061,2019-06-04,8.3,8.5,,,,,,N,,RamseyCo
Long,62-0067,2019-06-04,1.4,3.6,,,,,,N,,RamseyCo
Johanna,62-0078,2019-06-04,8.4,14.2,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-06-04,3.6,3.6,,,,,,N,,RamseyCo
White Bear,82-0167,2019-06-04,1,1.7,,,,,,N,,RamseyCo
Gervais,62-0007,2019-06-11,7.9,5.4,,,,,,N,,RamseyCo
Phalen,62-0013,2019-06-11,1,4.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-06-11,99.8,32.1,,,,,,N,,RamseyCo
Como,62-0055,2019-06-11,2.3,5.1,,,,,,N,,RamseyCo
Owasso,62-0056,2019-06-11,4,6.9,,,,,,N,,RamseyCo
Josephine,62-0057,2019-06-11,2,4.5,,,,,,N,,RamseyCo
Turtle,62-0061,2019-06-11,1,5,,,,,,N,,RamseyCo
Long,62-0067,2019-06-11,2.5,3.3,,,,,,N,,RamseyCo
Johanna,62-0078,2019-06-11,4.3,10.6,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-06-11,1,2.6,,,,,,N,,RamseyCo
White Bear,82-0167,2019-06-11,8.4,2.5,,,,,,N,,RamseyCo
Gervais,62-0007,2019-06-18,2.9,4.7,,,,,,N,,RamseyCo
Phalen,62-0013,2019-06-18,1,3.2,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-06-18,252,48.4,,,,,,N,,RamseyCo
Como,62-0055,2019-06-18,13,6.1,,,,,,N,,RamseyCo
Owasso,62-0056,2019-06-18,5.1,6.5,,,,,,N,,RamseyCo
Josephine,62-0057,2019-06-18,1,3.3,,,,,,N,,RamseyCo
Turtle,62-0061,2019-06-18,1.4,3.9,,,,,,N,,RamseyCo
Long,62-0067,2019-06-18,2.7,3.2,,,,,,N,,RamseyCo
Johanna,62-0078,2019-06-18,15.4,11.4,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-06-18,1,2.1,,,,,,N,,RamseyCo
White Bear,82-0167,2019-06-18,1.7,2.3,,,,,,N,,RamseyCo
Gervais,62-0007,2019-06-25,27.5,9.2,,,,,,N,,RamseyCo
Phalen,62-0013,2019-06-25,33.1,4.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-06-25,655.7,106.4,,,,,,N,,RamseyCo
Como,62-0055,2019-06-25,10.4,9.8,,,,,,N,,RamseyCo
Owasso,62-0056,2019-06-25,20.8,9.2,,,,,,N,,RamseyCo
Josephine,62-0057,2019-06-25,9.3,4.9,,,,,,N,,RamseyCo
Turtle,62-0061,2019-06-25,4.1,4.8,,,,,,N,,RamseyCo
Long,62-0067,2019-06-25,25.4,4.9,,,,,,N,,RamseyCo
Johanna,62-0078,2019-06-25,172.2,19.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-06-25,29.5,3.9,,,,,,N,,RamseyCo
White Bear,82-0167,2019-06-25,2.4,2.3,,,,,,N,,RamseyCo
Gervais,62-0007,2019-07-02,2.5,5.5,,,,,,N,,RamseyCo
Phalen,62-0013,2019-07-02,14.3,3.8,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-07-02,256.1,124.8,,,,,,N,,RamseyCo
Como,62-0055,2019-07-02,18.4,10.9,,,,,,N,,RamseyCo
Owasso,62-0056,2019-07-02,2.9,5.8,,,,,,N,,RamseyCo
Josephine,62-0057,2019-07-02,2.9,3.7,,,,,,N,,RamseyCo
Turtle,62-0061,2019-07-02,20.1,4,,,,,,N,,RamseyCo
Long,62-0067,2019-07-02,20.5,5.5,,,,,,N,,RamseyCo
Johanna,62-0078,2019-07-02,31.1,19.8,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-07-02,16.5,4.4,,,,,,N,,RamseyCo
White Bear,82-0167,2019-07-02,60.7,4.6,,,,,,N,,RamseyCo
Gervais,62-0007,2019-07-09,1.8,4.9,,,,,,N,,RamseyCo
Phalen,62-0013,2019-07-09,3.9,4.5,,,,,,N,,RamseyCo
Como,62-0055,2019-07-09,17.9,10,,,,,,N,,RamseyCo
Owasso,62-0056,2019-07-09,1.8,4.6,,,,,,N,,RamseyCo
Josephine,62-0057,2019-07-09,2,2.6,,,,,,N,,RamseyCo
Turtle,62-0061,2019-07-09,14.3,4.4,,,,,,N,,RamseyCo
Long,62-0067,2019-07-09,3.2,6.5,,,,,,N,,RamseyCo
Johanna,62-0078,2019-07-09,88.8,31.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-07-09,26.9,6.7,,,,,,N,,RamseyCo
White Bear,82-0167,2019-07-09,2.9,4.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-07-09,150.6,229.4,,,,,,Y,ecoli_30dayGM,RamseyCo
McCarrons,62-0054,2019-07-11,205.6,225.3,,,,,,Y,ecoli_30dayGM,RamseyCo
Gervais,62-0007,2019-07-16,7.8,4.9,,,,,,N,,RamseyCo
Phalen,62-0013,2019-07-16,61.6,10.3,,,,,,N,,RamseyCo
Owasso,62-0056,2019-07-16,37.3,21.4,,,,,,N,,RamseyCo
Josephine,62-0057,2019-07-16,7.5,3.3,,,,,,N,,RamseyCo
Turtle,62-0061,2019-07-16,28.3,8.6,,,,,,N,,RamseyCo
Long,62-0067,2019-07-16,170.8,15.1,,,,,,N,,RamseyCo
Johanna,62-0078,2019-07-16,316.8,74.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-07-16,55.3,14.9,,,,,,N,,RamseyCo
White Bear,82-0167,2019-07-16,338.5,11.3,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-07-16,727.2,313.7,,,,,,Y,ecoli_30dayGM,RamseyCo
Como,62-0055,2019-07-16,2400,40.4,,,,,,Y,ecoli_1dayGM,RamseyCo
Gervais,62-0007,2019-07-23,1.4,4.2,,,,,,N,,RamseyCo
Phalen,62-0013,2019-07-23,1,10.3,,,,,,N,,RamseyCo
Como,62-0055,2019-07-23,24.3,45.8,,,,,,N,,RamseyCo
Owasso,62-0056,2019-07-23,1.4,5.6,,,,,,N,,RamseyCo
Josephine,62-0057,2019-07-23,1,3.3,,,,,,N,,RamseyCo
Turtle,62-0061,2019-07-23,27.1,15.5,,,,,,N,,RamseyCo
Long,62-0067,2019-07-23,3.5,15.9,,,,,,N,,RamseyCo
Johanna,62-0078,2019-07-23,2.9,53.3,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-07-23,1,14.9,,,,,,N,,RamseyCo
White Bear,82-0167,2019-07-23,501.1,22.4,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-07-23,153.6,288.8,,,,,,Y,ecoli_30dayGM,RamseyCo
Gervais,62-0007,2019-07-30,3,2.7,,,,,,N,,RamseyCo
Phalen,62-0013,2019-07-30,1,5.1,,,,,,N,,RamseyCo
Como,62-0055,2019-07-30,16.6,50.3,,,,,,N,,RamseyCo
Owasso,62-0056,2019-07-30,2.9,3.8,,,,,,N,,RamseyCo
Josephine,62-0057,2019-07-30,1,2.1,,,,,,N,,RamseyCo
Turtle,62-0061,2019-07-30,2.9,14.5,,,,,,N,,RamseyCo
Long,62-0067,2019-07-30,3.2,10.5,,,,,,N,,RamseyCo
Johanna,62-0078,2019-07-30,2,21.9,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-07-30,1.4,8.1,,,,,,N,,RamseyCo
White Bear,82-0167,2019-07-30,5.1,43.2,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-07-30,30.5,173.2,,,,,,Y,ecoli_30dayGM,RamseyCo
Gervais,62-0007,2019-08-06,10.8,3.6,,,,,,N,,RamseyCo
Phalen,62-0013,2019-08-06,4.1,4,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-08-06,22,115.1,,,,,,N,,RamseyCo
Como,62-0055,2019-08-06,2.5,33.7,,,,,,N,,RamseyCo
Owasso,62-0056,2019-08-06,4.1,4.1,,,,,,N,,RamseyCo
Josephine,62-0057,2019-08-06,1.4,1.8,,,,,,N,,RamseyCo
Turtle,62-0061,2019-08-06,3.2,10,,,,,,N,,RamseyCo
Long,62-0067,2019-08-06,79,13.8,,,,,,N,,RamseyCo
Johanna,62-0078,2019-08-06,29.7,21.7,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-08-06,45.5,9.9,,,,,,N,,RamseyCo
White Bear,82-0167,2019-08-06,104.1,48.1,,,,,,N,,RamseyCo
Gervais,62-0007,2019-08-13,1.4,3.5,,,,,,N,,RamseyCo
Phalen,62-0013,2019-08-13,3.9,4,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-08-13,4.7,51.2,,,,,,N,,RamseyCo
Como,62-0055,2019-08-13,67.9,44,,,,,,N,,RamseyCo
Owasso,62-0056,2019-08-13,7.6,5.4,,,,,,N,,RamseyCo
Josephine,62-0057,2019-08-13,1,1.6,,,,,,N,,RamseyCo
Turtle,62-0061,2019-08-13,1.4,6.3,,,,,,N,,RamseyCo
Long,62-0067,2019-08-13,7.1,12.3,,,,,,N,,RamseyCo
Johanna,62-0078,2019-08-13,3.2,11.2,,,,,,N,,RamseyCo
Mahtomedi,82-0167,2019-08-13,1,5.1,,,,,,N,,RamseyCo
White Bear,82-0167,2019-08-13,8,59.2,,,,,,N,,RamseyCo
Gervais,62-0007,2019-08-20,15,4,,,,,,N,,RamseyCo
Phalen,62-0013,2019-08-20,6.7,2.6,,,,,,N,,RamseyCo
McCarrons,62-0054,2019-08-20,15,23.5,,,,,,N,,RamseyCo
